task_id,family,mean_entropy_top20_nl,mean_entropy_top20_python,mean_entropy_full_nl,mean_entropy_full_python,mean_p1_nl,mean_p1_python,mean_top20_mass_nl,mean_top20_mass_python,delta_mean_entropy_top20,delta_mean_entropy_full
absolute_values,element_transform,0.43979177190960406,0.1889834180961223,0.44399413934128634,0.1901872842147638,0.8365924286884395,0.9369585980539737,0.9996143547157761,0.9999040943988855,0.25080835381348177,0.25380685512652257
adjacent_differences,adjacent_transform,0.5630671304233115,0.17774619763840574,0.5862505784868423,0.17985222904478504,0.8101643580814888,0.9362144953122846,0.9971028881511469,0.9998263109613349,0.38532093278490576,0.4063983494420572
adjacent_sums,adjacent_transform,0.5494210768586605,0.1701880517526172,0.5657195376915308,0.17199311495370165,0.7908075017693602,0.9378762907452054,0.998197536409637,0.9998487145812422,0.3792330251060433,0.3937264227378292
anti_diagonal_sum,diagonal_aggregate,0.7484750086109021,0.18798298284789908,0.8253117237860957,0.19268165077093766,0.7654216591091383,0.9388882532986939,0.9912036827632361,0.9995185329246743,0.560492025763003,0.6326300730151581
are_disjoint,set_relation,0.5783198318319558,0.26923172750656915,0.5888057264741372,0.28706825998522567,0.7877463123872754,0.9091702562112074,0.9990445552103234,0.9979911897426996,0.30908810432538664,0.30173746648891153
binary_search_exact,binary_search,0.7278205413590619,0.15629678563152175,0.7706025233844209,0.16501180588426886,0.763735623322716,0.9489620712238614,0.994870381761891,0.9990715096143692,0.5715237557275402,0.605590717500152
binary_search_insertion,binary_search,0.6248164817304562,0.20958016149927064,0.662586945113479,0.222379068175848,0.792078615138025,0.9304816773280735,0.9956998080015182,0.9986484758962829,0.4152363202311856,0.4402078769376311
binary_to_integer,base_conversion,0.5495559858655187,0.24046580130039544,0.5771329291092689,0.24270087432559906,0.8069235431250705,0.9080965515746864,0.9967003177143767,0.9998011012231149,0.30909018456512327,0.3344320547836699
bubble_sort_ascending,bubble_sort,0.5757008892858351,0.09901088645905064,0.6076445220390151,0.10033434055792206,0.8090269788409824,0.9667479155081947,0.9958129045725972,0.9998921799511452,0.4766900028267844,0.507310181481093
bubble_sort_descending,bubble_sort,0.6173354330483023,0.11622796520909427,0.6561392369880262,0.11748803197342757,0.7934194258241742,0.9506516817662565,0.9949826953449735,0.9998951338935237,0.501107467839208,0.5386512050145986
chunks_fixed_size,chunking,0.3928235363235198,0.24785112474945095,0.4011301602133446,0.25318250875689136,0.8646486729684503,0.9141139290607847,0.999085216811209,0.9994614100581534,0.14497241157406884,0.14794765145645322
chunks_pairs,chunking,0.7914020439742931,0.22512412998607986,0.8496444032145,0.232340539177987,0.7404631892840068,0.9207677007411897,0.9922363343692963,0.9991957619383528,0.5662779139882133,0.6173038640365129
clamp_values,bounded_numeric_transform,0.47377574930832456,0.2733200608529686,0.48589795736062164,0.28744368701701434,0.8296119525846911,0.9070404400943515,0.9987194964435041,0.9984074821820873,0.20045568845535594,0.1984542703436073
contains_target,membership_test,0.4193517159487145,0.21607534764558292,0.42375424431714254,0.2197716436158649,0.8427695656873256,0.9284227522214253,0.9996209138197916,0.9996390612920125,0.2032763683031316,0.20398260070127763
contains_zero,membership_test,0.37167429528190493,0.16462891701063614,0.3753697974104589,0.16490824322436812,0.8778019485068439,0.9380557495686744,0.9996702041727765,0.9999788684977425,0.2070453782712688,0.21046155418609078
count_above,threshold_count,0.3585916504420476,0.20528461679428442,0.36666447766196825,0.2083242247610939,0.8735658390955492,0.924042071958985,0.9991202730121035,0.9997071828505005,0.15330703364776319,0.15834025290087433
count_below,threshold_count,0.3506245897937333,0.19613050836051107,0.3592065635984798,0.19953987655995808,0.8766103905409274,0.9310577578014797,0.9990414346107328,0.9996700076141743,0.1544940814332222,0.15966668703852172
count_character,char_count,0.42273231571424996,0.14007891998402774,0.4278604005088305,0.1429431683720597,0.8509807821476097,0.957416187934201,0.9995238805660094,0.9997512367036608,0.2826533957302222,0.2849172321367708
count_digits,digit_count,0.2699910658347528,0.15641103022628355,0.27560389954102305,0.15886398276123395,0.913521888435528,0.9464846771172803,0.9994668614479804,0.9997604489326477,0.11358003560846924,0.1167399167797891
count_divisors,divisors,0.4721330967256098,0.07848677064656304,0.48427824427584,0.07970059813471864,0.8371568163876892,0.9749216068358648,0.9988713389442813,0.9998992686233823,0.3936463260790468,0.40457764614112135
count_equal_neighbors,adjacent_analysis,0.6061422299465229,0.18700142922453059,0.6165218759788436,0.18944919584783063,0.7554248776929132,0.9318593679729154,0.9990104320405543,0.9997922623085626,0.41914080072199233,0.42707268013101296
count_even,parity_count,0.5828704828457073,0.15922094161074227,0.5971431538171946,0.16040491840967655,0.7897968752575771,0.9386414510863168,0.9984971254531826,0.9998987867718651,0.423649541234965,0.4367382354075181
count_even_digits,digit_count,0.3094645934738764,0.07392483714916566,0.31259348516483726,0.0745721664593953,0.8850853335961961,0.9756356331537354,0.9997229304230005,0.999948209561642,0.23553975632471075,0.23802131870544196
count_increases,adjacent_analysis,0.4929731701621645,0.216536941014754,0.5017314861046355,0.22745496696328218,0.8164136546781693,0.9263094223162088,0.9990828229093003,0.9986575035788169,0.2764362291474105,0.2742765191413533
count_odd,parity_count,0.5585940148006124,0.18828859565647318,0.5694855018904837,0.19026284633281687,0.7945408546942331,0.922254723594302,0.9988721620468866,0.9998242593946912,0.3703054191441393,0.3792226555576669
count_primes_up_to,primality,0.6506290561088396,0.15069741227012315,0.7131599888412489,0.16222969316566851,0.790347572967962,0.954049135050761,0.9924544405054164,0.9988158595152002,0.49993164383871647,0.5509302956755804
count_unique_words,word_count,0.49191481864545494,0.3042714760476057,0.5151778036256373,0.31534543807951687,0.8168757603400283,0.9015538985982087,0.996752655506134,0.9987207732417366,0.18764334259784926,0.19983236554612038
count_vowels,char_count,0.3924757030456249,0.18434904339055283,0.3998545281032462,0.18751695528700932,0.8513328361078205,0.9314215762274606,0.9993016699015924,0.9996945511727106,0.20812665965507207,0.21233757281623686
count_words,word_count,0.4818994604122256,0.19781637602977242,0.5106380111408523,0.20407723372724526,0.8630382476581467,0.9531045834223429,0.9959825918906264,0.9994584321975708,0.28408308438245317,0.306560777413607
dedupe_first,deduplication,0.5056388203651366,0.1850985207538037,0.5154340044333897,0.19390704097509612,0.824052183401017,0.9424633642037709,0.9989989524461976,0.9991304013464187,0.3205402996113329,0.32152696345829357
dedupe_last,deduplication,0.5292845200076802,0.2538676561140532,0.5397396210278217,0.278208873911258,0.8134512857802537,0.9156751649720327,0.9990119674400976,0.9968409941309974,0.275416863893627,0.2615307471165637
digit_product,digit_aggregate,0.4181443003119167,0.08896436489429908,0.4517680331253249,0.09114107031212383,0.8628231735542568,0.9726269521095134,0.9963711132906905,0.999813202906538,0.3291799354176176,0.36062696281320106
