contrast,left_condition,right_condition,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,mode_selection,0.15923116903327597,0.187480123776161,0.1817337473115578
C1,procedural_prose,controlled_nl,monotonicity,0.20724068236780302,0.2283922770312448,0.13179771880301197
C1,procedural_prose,controlled_nl,numeric_reverse,0.14634445422242492,0.15135197357380042,0.1731193126958802
C1,procedural_prose,controlled_nl,ordered_intersection,-0.002547266687158767,-0.039124499213552266,0.024778161582569957
C1,procedural_prose,controlled_nl,palindrome_test,0.07619636676011074,0.08462155334945792,0.10709686778362298
C1,procedural_prose,controlled_nl,parity_count,0.06755396765163452,0.08373552501114165,0.08371598686040296
C1,procedural_prose,controlled_nl,partition,0.051723613850297584,0.07228993097285441,0.1437555480447757
C1,procedural_prose,controlled_nl,primality,0.07954984541607071,0.09329060996949523,0.10274464225069305
C1,procedural_prose,controlled_nl,reverse_sequence,0.14438299404798233,0.1658023619812888,0.245624473679451
C1,procedural_prose,controlled_nl,rotation,0.12108708262405962,0.14372695997128815,0.14845900230917283
C1,procedural_prose,controlled_nl,scan_extremum,0.25421340437422846,0.2731560602717702,0.26541203364914634
C1,procedural_prose,controlled_nl,selection_sort,0.103998103937228,0.12081987817608836,0.175445194158445
C1,procedural_prose,controlled_nl,set_relation,0.12549463648341497,0.11520716990855784,0.19213116963351567
C1,procedural_prose,controlled_nl,sign_filter,0.05348591121987817,0.08004562145775707,0.23354099321354346
C1,procedural_prose,controlled_nl,sign_sum,0.013514444376202223,0.028206632161272116,0.06890713404667739
C1,procedural_prose,controlled_nl,sliding_window,0.05327509588250312,0.06772445747610562,0.038574303154024714
C1,procedural_prose,controlled_nl,string_filter,-0.03351639880563265,-0.02836727319794169,0.10477194245789961
C1,procedural_prose,controlled_nl,threshold_count,0.07670621419571472,0.0879678209557519,0.11343578360484893
C1,procedural_prose,controlled_nl,word_count,0.0777914705365414,0.13069664988913904,0.1416758698902682
C2,controlled_nl,pseudocode,adjacent_analysis,0.04298493925011376,0.04440247953877713,0.02608616920638436
C2,controlled_nl,pseudocode,adjacent_transform,0.12103006158915042,0.12958381947321979,0.16160093980033216
C2,controlled_nl,pseudocode,base_conversion,0.09346195832447646,0.10367087998230956,0.09218472624219592
C2,controlled_nl,pseudocode,binary_search,0.014379334949513517,0.01761636098387251,-0.0009327946756585159
C2,controlled_nl,pseudocode,bounded_numeric_transform,0.09110738972231444,0.116881605198143,0.06642113044426787
C2,controlled_nl,pseudocode,bubble_sort,0.030981090140952225,0.03616574092633147,0.03390801070959637
C2,controlled_nl,pseudocode,char_count,0.14344580616658043,0.1432879297868504,0.1562911896158779
C2,controlled_nl,pseudocode,chunking,0.1525959380845989,0.19283006119060223,0.20121156460242293
C2,controlled_nl,pseudocode,cumulative_scan,0.14441600938498217,0.15996581165753984,0.13950423354654348
C2,controlled_nl,pseudocode,deduplication,0.11739535567097545,0.12179876608108195,0.1482356160505453
C2,controlled_nl,pseudocode,diagonal_aggregate,0.051493582410300553,0.05268162065142673,-0.006778584931636883
C2,controlled_nl,pseudocode,dictionary_transform,-0.05662092681036998,-0.06716863278483015,-0.004970600461432134
C2,controlled_nl,pseudocode,digit_aggregate,0.08039015513289588,0.07859713704089173,0.09849676907533643
C2,controlled_nl,pseudocode,digit_count,0.12807189773797156,0.12725431038960927,0.146088045180147
C2,controlled_nl,pseudocode,divisors,0.10255201772105552,0.11821967441833472,0.14235835021557802
C2,controlled_nl,pseudocode,element_transform,0.15699336115294135,0.17849962858237195,0.17667045397197906
C2,controlled_nl,pseudocode,factorial_product,0.1864657770963257,0.20002807800880373,0.2815341833632049
C2,controlled_nl,pseudocode,fibonacci,0.07353294308275257,0.09119599138820142,0.057939579587904244
C2,controlled_nl,pseudocode,first_match_index,-0.02536070529898582,-0.025162293682659848,-0.06783233087252985
C2,controlled_nl,pseudocode,flatten_one_level,0.13224831514458352,0.15108587330361048,0.12709427952502628
C2,controlled_nl,pseudocode,frequency_map,0.10007482175419777,0.09744556232944707,0.11949164999208267
C2,controlled_nl,pseudocode,gcd_family,0.06062279158571836,0.06869925331107161,0.0939710121792499
C2,controlled_nl,pseudocode,grouping,0.013886478423250193,-0.005818424087055879,0.04633504966721125
C2,controlled_nl,pseudocode,insertion_sort,0.04207689419448042,0.050104286131165854,-0.03960817294893662
C2,controlled_nl,pseudocode,lcm_family,0.0686419450170059,0.07280662227368737,0.04396514842540608
C2,controlled_nl,pseudocode,linear_search,-0.04941695908544866,-0.05230924464414419,-0.06176161153692436
C2,controlled_nl,pseudocode,matrix_aggregate,0.10869756609467901,0.11586884487630014,0.11284776293215457
C2,controlled_nl,pseudocode,matrix_search,-0.04041026264683403,-0.03863124988758729,-0.09319309156580521
C2,controlled_nl,pseudocode,matrix_transform,0.10933101108562221,0.12889813770527583,0.077596934139334
C2,controlled_nl,pseudocode,membership_test,-0.016996397042945144,-0.015913637984251244,-0.045300865407750496
C2,controlled_nl,pseudocode,merge_sorted,0.08694108156736216,0.09718731584691304,0.1476443586207843
C2,controlled_nl,pseudocode,mode_selection,-0.023179822770117292,-0.03589541768870297,-0.04831456855116023
C2,controlled_nl,pseudocode,monotonicity,-0.009861496716571383,-0.0065367106299117905,-0.05970248459030644
C2,controlled_nl,pseudocode,numeric_reverse,0.021088154749420593,0.021419637636112168,0.03269624357382438
C2,controlled_nl,pseudocode,ordered_intersection,0.029494333188590516,0.058478125971122674,0.08472777304337398
C2,controlled_nl,pseudocode,palindrome_test,0.041317860343363585,0.04272090620373853,0.025163423184301675
C2,controlled_nl,pseudocode,parity_count,0.12163216746289507,0.12810526725225685,0.13053673301051588
C2,controlled_nl,pseudocode,partition,-0.0037457978435650185,-0.012649326309351838,-0.05511088793222557
C2,controlled_nl,pseudocode,primality,0.07499038725864125,0.08005940001271664,0.08468422300142274
C2,controlled_nl,pseudocode,reverse_sequence,0.08691490062395713,0.08609762508839122,0.1294499343404668
C2,controlled_nl,pseudocode,rotation,0.09388983843275833,0.10125573341177813,0.07171888343150035
C2,controlled_nl,pseudocode,scan_extremum,0.08167582438846162,0.08643558143456984,0.08167106818613307
C2,controlled_nl,pseudocode,selection_sort,0.06825377564215443,0.07694467494759519,0.02204409171288685
C2,controlled_nl,pseudocode,set_relation,-0.04123008376224818,-0.012938133947437924,-0.015983558157200484
C2,controlled_nl,pseudocode,sign_filter,0.14269607611989202,0.14797394544417147,0.12512698529936742
C2,controlled_nl,pseudocode,sign_sum,0.18590984511795908,0.1936371959703014,0.1949475880428301
C2,controlled_nl,pseudocode,sliding_window,0.08527168256657691,0.09996234833900153,0.12024339398382139
C2,controlled_nl,pseudocode,string_filter,0.12659748142973273,0.12685451423154298,0.1726755883494426
C2,controlled_nl,pseudocode,threshold_count,0.17473213058341341,0.19643666594732023,0.13619903731715463
C2,controlled_nl,pseudocode,word_count,0.06925480889993041,0.052784386404303885,-0.016555304809184324
C3,pseudocode,python_canonical,adjacent_analysis,0.10168045065917505,0.1027803250841173,0.039625272706538595
C3,pseudocode,python_canonical,adjacent_transform,0.16970533859141634,0.17927693509875783,-0.03728599691366308
C3,pseudocode,python_canonical,base_conversion,0.11635863267666689,0.1331613679102681,-0.0667103566153957
C3,pseudocode,python_canonical,binary_search,0.11254172704961962,0.12668398298799158,0.038248111346825237
C3,pseudocode,python_canonical,bounded_numeric_transform,0.1403636877860735,0.1572394286071891,0.03460247092206939
C3,pseudocode,python_canonical,bubble_sort,0.13433097861310714,0.14006381994875872,0.117843299235615
C3,pseudocode,python_canonical,char_count,0.17704598584124415,0.19054329536421155,0.064609196918682
C3,pseudocode,python_canonical,chunking,0.19595244702557124,0.22203776665484667,-0.0865062598913722
C3,pseudocode,python_canonical,cumulative_scan,0.24414065592046857,0.2696695478346398,0.1822778740213885
C3,pseudocode,python_canonical,deduplication,0.19093796562492443,0.19585445844867905,0.04393723919538847
C3,pseudocode,python_canonical,diagonal_aggregate,0.22425461827128151,0.23994258434786686,0.1415117057103636
C3,pseudocode,python_canonical,dictionary_transform,0.33120517878650707,0.3620591379671575,0.004173534223272823
C3,pseudocode,python_canonical,digit_aggregate,0.04564166225639182,0.04738171631118713,-0.07863666093281639
C3,pseudocode,python_canonical,digit_count,0.07328298944635064,0.07811580799257364,0.0068510493583237575
C3,pseudocode,python_canonical,divisors,0.324705074489699,0.33995922157574454,0.15939546168816354
